srn TID	BID SID	Energy	Price DD MM YYYY hr mn sc
  1 101 204 304 345.00 330.00 12 12 2024 12 12 12
  2 102	202 302	350.00 310.00 13 12 2023 14 20 30
  3 103	203 312 400.00 321.00 08 07 2023 23 23 23
  4 104	204 303	450.00 332.00 14 09 2023 15 25 45
  5 105	205 304	150.00 380.00 15 12 2023 10 10 05
  6 106	206 305	500.00 324.00 16 02 2023 11 45 55
  7 107	207 305	300.00 324.00 17 11 2023 09 30 20
  8 108	208 306	280.00 382.00 18 12 2023 08 50 35
  9 109	209 307	420.00 352.00 19 04 2023 14 15 40
 10 110	210 308	380.00 321.00 20 12 2023 16 05 15
 11 111 211 309 600.00 311.00 22 09 2024 18 05 55
 12 112 212 304 200.00 380.00 06 06 2024 12 45 00
 13 113 213 304 325.00 380.00 04 07 2024 14 30 30
 14 114 214 310 425.00 332.00 31 08 2024 15 15 08
 15 115 215 311	285.00 364.00 15 05 2024 16 20 06  
 16 116 206 304 310.00 330.00 21 10 2024 17 35 00
 17 117 207 304 320.00 330.00 10 04 2024 20 20 20
 18 118 208 304 270.00 380.00 07 08 2024 22 30 35
 19 119 209 310 500.00 332.00 17 08 2024 01 01 30
 20 120 205 310 450.00 332.00 31 08 2024 12 35 47
 21 121 201 312 315.00 321.00 02 04 2024 13 36 48
 22 122 201 301 325.00 325.00 21 03 2024 23 23 35
 23 123 201 301 155.00 352.00 18 12 2024 14 34 47
 24 124 201 301 165.00 352.00 21 01 2025 09 30 32
 25 125 202 302 175.00 370.00 31 08 2024 12 35 47
 26 126 203 303 180.00 350.00 15 05 2024 16 20 06
 27 127 204 304 275.00 380.00 17 11 2023 09 30 20
 28 128 215 312 320.00 321.00 11 10 2023 12 12 12
 29 129 212 312 350.00 321.00 22 09 2024 18 05 55
 30 130 209 306 550.00 350.00 14 09 2023 15 25 45
 31 131 201 301 370.00 325.00 21 01 2025 09 30 32
 32 132 202 302 325.00 310.00 16 02 2023 11 45 55
 33 133 203 303 360.00 332.00 17 11 2023 09 30 20
 34 134 204 304 375.00 330.00 16 02 2024 11 45 55
 35 135 205 310 380.00 332.00 31 08 2024 12 35 47
 36 136 201 301 385.00 325.00 15 05 2024 16 20 06
 37 138 203 303 390.00 332.00 14 09 2023 15 25 45
 39 139 204 304 425.00 330.00 16 01 2025 11 45 55
 40 140 210 309 430.00 311.00 08 07 2023 23 23 23
 41 141 211 311 450.00 343.00 22 09 2024 18 05 55
 42 142 207 311 480.00 343.00 16 02 2023 11 45 55
 43 143 212 309 450.00 311.00 08 07 2023 23 23 23
 44 144 215 305 720.00 324.00 21 01 2025 09 30 32
 45 145 209 301 325.00 325.00 17 11 2023 09 30 20
 46 146 201 301 310.00 325.00 31 08 2024 12 35 47
 47 147 203 303 400.00 332.00 08 07 2023 23 23 23
 48 148 204 304 300.00 330.00 11 10 2023 12 12 12
 49 149 207 311 305.00 343.00 17 11 2023 09 30 20
 50 150 212 309 400.00 311.00 08 07 2023 23 23 23
 51 151 205 306 420.00 350.00 21 01 2025 09 30 32
 52 152 208 308 520.00 321.00 08 07 2024 23 23 23
 53 153 209 302 550.00 310.00 08 01 2025 23 22 03
 54 154 208 311 520.00 343.00 22 09 2024 18 05 55
 55 155 201 312 625.00 321.00 15 05 2024 16 20 06
 56 156 203 303 720.00 332.00 14 09 2023 15 25 45
 57 157 206 307 325.00 352.00 21 01 2025 09 30 32
 58 158 211 311 280.00 364.00 31 08 2024 12 35 47
 59 159 207 301 205.00 352.00 17 11 2023 09 30 20
 60 160 203 303 110.00 350.00 11 10 2023 12 12 12

